	PostalCode	Borough	Neighborhood	URL	Title	Latitude	Longitude
89	M6L	North York	Upwood Park	/wiki/North_York	North York, Toronto, Ontario	43.70684205678648	-79.50003095873149
90	M9L	North York	Humber Summit	/wiki/Humber_Summit	Humber Summit, Toronto, Ontario	43.76016000000004	-79.55848999999995
91	M1M	Scarborough	Cliffcrest	/wiki/Cliffcrest	Cliffcrest, Toronto, Ontario	43.726420000000076	-79.23296999999997
92	M1M	Scarborough	Cliffside	/wiki/Cliffside,_Toronto	Cliffside, Toronto, Ontario	43.703802515604366	-79.25063973450567
93	M1M	Scarborough	Scarborough Village West	/wiki/Scarborough,_Toronto	Scarborough, Toronto, Ontario	43.73852000000005	-79.21691999999996
94	M2M	North York	Newtonbrook	/wiki/Newtonbrook	Newtonbrook, Toronto, Ontario	43.787300000000066	-79.40982999999993
95	M2M	North York	Willowdale	/wiki/Willowdale,_Toronto	Willowdale, Toronto, Ontario	43.78227000000004	-79.42812999999995
96	M3M	North York	Downsview Central	/wiki/North_York	North York, Toronto, Ontario	43.720189518788395	-79.49991483674016
97	M4M	East Toronto	Studio District	/wiki/East_Toronto	East Toronto, Toronto, Ontario	43.648690000000045	-79.38543999999995
98	M5M	North York	Bedford Park	/wiki/Bedford_Park,_Toronto	Bedford Park, Toronto, Ontario	43.72830000000005	-79.39917999999993
99	M5M	North York	Lawrence Manor East	/wiki/North_York	North York, Toronto, Ontario	43.77955909786817	-79.13688378895377
100	M6M	York	Del Ray	/wiki/York,_Toronto	York, Toronto, Ontario	43.70234000000005	-79.48040999999995
101	M6M	York	Keelesdale	/wiki/Keelesdale	Keelesdale, Toronto, Ontario	43.700110000000045	-79.48290999999995
102	M6M	York	Mount Dennis	/wiki/Mount_Dennis	Mount Dennis, Toronto, Ontario	43.689100000000046	-79.49551999999993
103	M6M	York	Silverthorn	/wiki/Silverthorn,_Toronto	Silverthorn, Toronto, Ontario	43.68633948285267	-79.46653970391235
104	M9M	North York	Emery	/wiki/Emery,_Toronto	Emery, Toronto, Ontario	43.75314000000003	-79.53616999999997
105	M9M	North York	Humberlea	/wiki/Humberlea	Humberlea, Toronto, Ontario	43.721510000000066	-79.53400999999997
106	M1N	Scarborough	Birch Cliff	/wiki/Birch_Cliff	Birch Cliff, Toronto, Ontario	43.68436000000003	-79.27589999999998
107	M1N	Scarborough	Cliffside West	/wiki/Scarborough,_Toronto	Scarborough, Toronto, Ontario	43.703802515604366	-79.25063973450567
108	M2N	North York	Willowdale South	/wiki/North_York	North York, Toronto, Ontario	43.790316352208656	-79.41083153756662
109	M3N	North York	Downsview Northwest	/wiki/North_York	North York, Toronto, Ontario	43.720189518788395	-79.49991483674016
110	M4N	Central Toronto	Lawrence Park	/wiki/Lawrence_Park,_Toronto	Lawrence Park, Toronto, Ontario	43.725540000000066	-79.40231999999997
111	M5N	Central Toronto	Roselawn	/wiki/Central_Toronto	Central Toronto, Toronto, Ontario	43.701597173644345	-79.44419167518936
112	M6N	York	The Junction North	/wiki/York,_Toronto	York, Toronto, Ontario	43.668315146838225	-79.46365962265506
113	M9N	York	Weston	/wiki/Weston,_Toronto	Weston, Toronto, Ontario	43.70435000000003	-79.50936999999998
114	M1P	Scarborough	Dorset Park	/wiki/Dorset_Park	Dorset Park, Toronto, Ontario	43.755330000000065	-79.27745999999995
115	M1P	Scarborough	Scarborough Town Centre	/wiki/Scarborough_Town_Centre	Scarborough Town Centre, Toronto, Ontario	43.77559000000008	-79.26070999999995
116	M1P	Scarborough	Wexford Heights	/wiki/Wexford_Heights	Wexford Heights, Toronto, Ontario	43.737040000000036	-79.27693999999997
117	M2P	North York	York Mills West	/wiki/North_York	North York, Toronto, Ontario	43.74647516020779	-79.39161667241902
118	M4P	Central Toronto	Davisville North	/wiki/Central_Toronto	Central Toronto, Toronto, Ontario	43.70062483101036	-79.38537025162711
119	M5P	Central Toronto	Forest Hill North	/wiki/Forest_Hill_North	Forest Hill North, Toronto, Ontario	43.70522000000005	-79.42744999999995
120	M5P	Central Toronto	Forest Hill West	/wiki/Central_Toronto	Central Toronto, Toronto, Ontario	43.690482980656654	-79.40489556082156
121	M6P	West Toronto	High Park	/wiki/High_Park	High Park, Toronto, Ontario	43.64473000000004	-79.45687999999996
122	M6P	West Toronto	The Junction South	/wiki/West_Toronto	West Toronto, Toronto, Ontario	43.668315146838225	-79.46365962265506
123	M9P	Etobicoke	Westmount	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.68448248699065	-79.44447860010581
124	M1R	Scarborough	Maryvale	/wiki/Maryvale,_Toronto	Maryvale, Toronto, Ontario	43.750830000000065	-79.30768999999998
125	M1R	Scarborough	Wexford	/wiki/Wexford,_Toronto	Wexford, Toronto, Ontario	43.75012000000004	-79.29959999999993
126	M2R	North York	Willowdale West	/wiki/Willowdale_West	Willowdale West, Toronto, Ontario	43.770940000000046	-79.42784999999998
127	M4R	Central Toronto	North Toronto West	/wiki/Central_Toronto	Central Toronto, Toronto, Ontario	43.724000000000046	-79.40197999999998
128	M5R	Central Toronto	The Annex	/wiki/The_Annex	The Annex, Toronto, Ontario	43.665519923394356	-79.40732002611213
129	M5R	Central Toronto	North Midtown	/wiki/Central_Toronto	Central Toronto, Toronto, Ontario	43.706720000000075	-79.39829999999995
130	M5R	Central Toronto	Yorkville	/wiki/Yorkville,_Toronto	Yorkville, Toronto, Ontario	43.672250000000076	-79.38568999999995
131	M6R	West Toronto	Parkdale	/wiki/Parkdale,_Toronto	Parkdale, Toronto, Ontario	43.63913000000008	-79.45072999999995
132	M6R	West Toronto	Roncesvalles	/wiki/Roncesvalles,_Toronto	Roncesvalles, Toronto, Ontario	43.64427000000007	-79.44268999999997
133	M7R	Mississauga	Canada Post Gateway Processing Centre		, Toronto, Ontario	43.648690000000045	-79.38543999999995
134	M9R	Etobicoke	Kingsview Village	/wiki/Kingsview_Village	Kingsview Village, Toronto, Ontario	43.702510000000075	-79.57208999999995
135	M9R	Etobicoke	Martin Grove Gardens	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.68339000000003	-79.55703999999997
136	M9R	Etobicoke	Richview Gardens	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.680040000000076	-79.53798999999998
137	M9R	Etobicoke	St. Phillips	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.70046000000008	-79.53122999999994
138	M1S	Scarborough	Agincourt	/wiki/Agincourt,_Toronto	Agincourt, Toronto, Ontario	43.785980000000045	-79.28019999999998
139	M4S	Central Toronto	Davisville	/wiki/Central_Toronto	Central Toronto, Toronto, Ontario	43.70175000000007	-79.38351999999998
140	M5S	Downtown Toronto	Harbord	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.659998170319156	-79.41707935820114
141	M5S	Downtown Toronto	University of Toronto	/wiki/University_of_Toronto	University of Toronto, Toronto, Ontario	43.66774998831461	-79.39863994503438
142	M6S	West Toronto	Runnymede	/wiki/Runnymede,_Toronto	Runnymede, Toronto, Ontario	43.68341000000004	-79.48290999999995
143	M6S	West Toronto	Swansea	/wiki/Swansea,_Toronto	Swansea, Toronto, Ontario	43.6394462387877	-79.47055390767747
144	M1T	Scarborough	Clarks Corners	/wiki/Scarborough,_Toronto	Scarborough, Toronto, Ontario	43.786500000000046	-79.30163999999995
145	M1T	Scarborough	Sullivan	/wiki/Scarborough,_Toronto	Scarborough, Toronto, Ontario	43.766820000000045	-79.31629999999996
146	M1T	Scarborough	Tam O'Shanter	/wiki/Tam_O%27Shanter_%E2%80%93_Sullivan	Tam O'Shanter – Sullivan, Toronto, Ontario	43.785340000000076	-79.29832999999995
147	M4T	Central Toronto	Moore Park	/wiki/Moore_Park,_Toronto	Moore Park, Toronto, Ontario	43.79255000000007	-79.43445999999993
148	M4T	Central Toronto	Summerhill East	/wiki/Central_Toronto	Central Toronto, Toronto, Ontario	43.61186780156127	-79.48874670819669
149	M5T	Downtown Toronto	Chinatown	/wiki/Chinatown,_Toronto	Chinatown, Toronto, Ontario	43.648690000000045	-79.38543999999995
150	M5T	Downtown Toronto	Grange Park	/wiki/Grange_Park_(Toronto)	Grange Park, Toronto, Ontario	43.65225000000004	-79.39135999999995
151	M5T	Downtown Toronto	Kensington Market	/wiki/Kensington_Market	Kensington Market, Toronto, Ontario	43.654320043857105	-79.40189993003072
152	M1V	Scarborough	Agincourt North	/wiki/Agincourt_North	Agincourt North, Toronto, Ontario	43.809300000000064	-79.26706999999998
153	M1V	Scarborough	L'Amoreaux East	/wiki/Scarborough,_Toronto	Scarborough, Toronto, Ontario	43.79972993039749	-79.31003191126086
154	M1V	Scarborough	Milliken	/wiki/Milliken,_Ontario	Milliken, Ontario, Toronto, Ontario	43.82280000000003	-79.27693999999997
155	M1V	Scarborough	Steeles East	/wiki/Scarborough,_Toronto	Scarborough, Toronto, Ontario	43.85217106141843	-79.18412524833424
156	M4V	Central Toronto	Deer Park	/wiki/Deer_Park,_Toronto	Deer Park, Toronto, Ontario	43.677970000000066	-79.40596999999997
157	M4V	Central Toronto	Forest Hill SE	/wiki/Central_Toronto	Central Toronto, Toronto, Ontario	43.68991000000005	-79.42466999999994
158	M4V	Central Toronto	Rathnelly	/wiki/Rathnelly	Rathnelly, Toronto, Ontario	43.678730778981574	-79.40096525216684
159	M4V	Central Toronto	South Hill	/wiki/South_Hill,_Toronto	South Hill, Toronto, Ontario	43.67651961160911	-79.37922409532919
